amplitude,wave_number,p_derivation,height,thickness,grouser_num,wheel_rad,wheel_width,slope,wheel_mass,test_num,time,energy,force_x,force_y,slip,runtime,efficiency,z_advance,steer_slip,success
0.0167958,3,-0.169343,0.0057128,0.0173288,16,0.336369,0.226412,6.6347,55.3581,16,5.99004,305.174,0.121063,0.113366044862706,0.471529,2056.49,0.178115,0.100092,0.195358,1
0.00816083,3,0.267888,0.0145305,0.022526,29,0.160178,0.183413,6.97161,64.1116,17,14.8602,800.167,0.291499,0.0954202254060054,0.696257,4077.97,0.078644,0.100055,0.386394,1
0.00399791,1,0.006159,0.0524614,0.0105038,10,0.227302,0.478865,8.19774,128.071,18,4.09,463.577,0.0976019,0.102436649344869,0.23688,1515.75,0.271139,0.100045,0.0895448,1
0.0093142,1,0.0895634,0.0484739,0.0121236,29,0.481953,0.499495,10.7016,41.1296,19,1.35,80.8346,0.240896,0.17609040770199,0.0893635,938.234,0.499853,0.100142,-0.00919318,1
0.00970609,1,0.0255493,0.0261877,0.0165308,15,0.354751,0.309043,8.56723,99.3305,20,3.04,345.168,0.0187307,0.118494646838976,0.283026,1294.4,0.283092,0.100278,0.0934522,1
0.0186203,3,-0.235034,0.0476785,0.0196317,12,0.251331,0.204968,7.18722,27.0107,21,4.23,97.5894,0.149887,0.193428838128698,0.20829,1545.46,0.272134,0.100226,0.115109,1
0.0217886,2,-0.207338,0.0672067,0.019971,30,0.282368,0.30141,10.1879,63.932,22,3.39,261.071,0.190655,0.156056801687165,0.402765,1388.97,0.240589,0.100149,0.163898,1
0.02975,2,0.118906,0.0326636,0.0181448,29,0.414783,0.192059,6.89935,35.2145,23,2.51,103.002,0.205491,0.234016519322262,0.118389,1225.13,0.336087,0.100209,0.0403594,1
0.0117589,2,-0.268342,0.0365487,0.0189445,25,0.155044,0.231964,12.9798,73.1049,24,10.7602,654.477,0.0381753,0.0784319719730129,0.729787,3039.14,0.109683,0.100096,0.330948,1
0.000469541,3,-0.240449,0.0476946,0.017574,21,0.250454,0.444233,12.6917,60.6561,25,3.02,188.865,0.175062,0.116181139262551,0.365808,1252.7,0.316214,0.100367,0.148036,1
0.00668883,1,-0.00219808,0.00645275,0.0164155,9,0.450142,0.496817,10.673,59.7224,26,2.19,149.379,0.385383,0.137542923192049,0.323036,1131.94,0.393366,0.100295,0.0598426,1
0.0296063,3,-0.150847,0.0647876,0.0138629,22,0.260047,0.116265,11.0971,95.9216,27,6.28005,902,0.591688,0.175716896627659,0.681633,2155.45,0.104326,0.100003,0.327165,1
0.000565414,1,0.283432,0.0765234,0.0225006,10,0.30912,0.364111,11.9893,44.7453,28,1.61,103.751,0.0933864,0.155214452184231,0.153536,954.526,0.42383,0.100177,0.0361277,1
0.0171674,1,-0.19958,0.0617996,0.022052,15,0.170237,0.372767,11.2365,110.186,29,6.00004,598.295,0.0106064,0.106770623588142,0.538985,1959,0.180766,0.100055,0.214739,1
0.00309472,3,0.236469,0.0741982,0.0145411,32,0.468546,0.267708,10.8245,68.0972,30,1.26,157.095,0.0260108,0.210781335449491,0.100136,934.118,0.427416,0.100512,-0.0135423,1
0.000657284,1,-0.251378,0.0229053,0.0192645,18,0.478736,0.217648,11.4735,103.804,31,2.24,391.187,-0.327234,0.195567738792284,0.440562,1180.73,0.260404,0.100035,0.17202,1
0.0110549,2,0.230127,0.0566997,0.0106784,31,0.457692,0.17503,12.5019,110.578,32,1.38,324.473,0.319197,0.25840219907225,0.252538,955.984,0.334681,0.100109,0.0432438,1
0.00528454,1,0.0754983,0.0642397,0.0168971,16,0.253173,0.479752,10.0192,45.3203,33,2.61,126.572,0.217946,0.157071601690451,0.171711,1178.12,0.351431,0.100049,0.04745,1
0.0299812,1,-0.0177027,0.0258229,0.0209903,31,0.48182,0.282142,7.64836,115.706,34,2.29,343.469,0.234221,0.146061603318742,0.189878,1180.91,0.33138,0.100274,0.0731595,1
0.0212269,1,-0.203159,0.0398633,0.0183291,21,0.358831,0.118718,11.0468,68.634,35,2.8,289.393,0.0769215,0.211544775450166,0.415213,1277.93,0.232823,0.10007,0.174256,1
0.00963677,4,-0.257939,0.036999,0.0137922,30,0.226407,0.312512,6.94,50.8281,36,5.91004,229.392,-0.061235,0.130918576685834,0.334474,1918.65,0.217691,0.100149,0.180462,1
0.0021302,3,0.0834891,0.0468294,0.0169745,14,0.247018,0.176121,11.2401,52.738,37,2.99,180.233,0.0926064,0.129464451218067,0.309177,1223.04,0.287123,0.100025,0.110414,1
0.00652525,3,0.187602,0.068413,0.0249101,24,0.201008,0.273436,9.60318,130.038,38,5.29003,784.674,-0.161989,0.130549152267716,0.538496,1872,0.162587,0.100008,0.250842,1
0.0018424,2,-0.0795661,0.0421389,0.0168646,9,0.338219,0.32034,10.2159,103.521,39,3.1,397.073,-0.261515,0.113720665992602,0.402043,1325.85,0.255854,0.100038,0.135014,1
0.0172291,3,0.177605,0.0557491,0.0119301,17,0.336357,0.300686,8.53317,91.1879,40,2.37,272.42,-0.181421,0.161026738329652,0.168399,1158.91,0.328523,0.100046,0.0658026,1
0.0107124,4,-0.0689031,0.0768061,0.019764,25,0.38327,0.285613,14.1085,117.182,41,1.84,370.265,-0.0747605,0.195026699974152,0.392283,1084.87,0.311471,0.100323,0.0976372,1
