x,y,z
0.14875,-0.095,-0.058926
0.15216,-0.095,-0.049469
0.15497,-0.095,-0.039818
0.15716,-0.095,-0.030009
0.15873,-0.095,-0.020082
0.15968,-0.095,-0.010076
0.17,-0.095,-1.6841e-07
0.1697,-0.095,0.010071
0.16881,-0.095,0.020106
0.16732,-0.095,0.03007
0.16524,-0.095,0.039929
0.16259,-0.095,0.049648
0.15936,-0.095,0.059193
0.15558,-0.095,0.068529
0.15124,-0.095,0.077625
0.14638,-0.095,0.086448
0.141,-0.095,0.094967
0.13513,-0.095,0.10315
0.12878,-0.095,0.11098
0.12198,-0.095,0.11841
0.11475,-0.095,0.12543
0.10712,-0.095,0.13201
0.099114,-0.095,0.13812
