X,Y,Z,r,absv
-0.362528,-0.379255,-0.483426,0.016,0.135797
-0.350175,-0.378313,-0.48395,0.016,0.135797
-0.300924,-0.390655,-0.483997,0.016,0.124599
-0.308397,-0.379193,-0.483427,0.016,0.124599
-0.296044,-0.378253,-0.483941,0.016,0.124599
-0.247057,-0.390673,-0.484001,0.016,0.13871
-0.254579,-0.37924,-0.483495,0.016,0.13871
-0.242227,-0.378251,-0.483955,0.016,0.13871
-0.193082,-0.39068,-0.483999,0.016,0.137042
-0.200603,-0.379246,-0.483488,0.016,0.137042
-0.188252,-0.378258,-0.483965,0.016,0.137042
-0.139028,-0.390604,-0.484003,0.016,0.11491
-0.146514,-0.379146,-0.483503,0.016,0.11491
-0.134157,-0.378198,-0.483919,0.016,0.11491
-0.0850202,-0.390629,-0.484004,0.016,0.12078
-0.0924851,-0.379159,-0.483467,0.016,0.12078
-0.0801284,-0.378231,-0.483926,0.016,0.12078
-0.0309817,-0.390663,-0.483996,0.016,0.125791
-0.0384795,-0.379215,-0.48346,0.016,0.125791
-0.0261262,-0.378251,-0.483935,0.016,0.125791
0.0229506,-0.390679,-0.484,0.016,0.137126
0.0154356,-0.379241,-0.483481,0.016,0.137126
0.0277876,-0.378259,-0.483954,0.016,0.137126
0.0770145,-0.390655,-0.484004,0.016,0.125557
0.0695659,-0.379176,-0.48343,0.016,0.125557
0.0819223,-0.378263,-0.483926,0.016,0.125557
0.131114,-0.390638,-0.484003,0.016,0.116589
0.123628,-0.379184,-0.483443,0.016,0.116589
0.135981,-0.378231,-0.483938,0.016,0.116589
0.184992,-0.390662,-0.484003,0.016,0.120907
0.17747,-0.379229,-0.483492,0.016,0.120907
0.189823,-0.37824,-0.483933,0.016,0.120907
0.238966,-0.390648,-0.483997,0.016,0.128654
0.231486,-0.379188,-0.483462,0.016,0.128654
0.243841,-0.378243,-0.483931,0.016,0.128654
0.292984,-0.390628,-0.483999,0.016,0.124312
0.285514,-0.379162,-0.483462,0.016,0.124312
0.29787,-0.378228,-0.483926,0.016,0.124312
0.346977,-0.39061,-0.484001,0.016,0.118107
0.33954,-0.379122,-0.483466,0.016,0.118107
0.351899,-0.378224,-0.483907,0.016,0.118107
0.401065,-0.390704,-0.484001,0.016,0.123095
0.393528,-0.379282,-0.483459,0.016,0.123095
0.405877,-0.378275,-0.483944,0.016,0.123095
0.454973,-0.390627,-0.484003,0.016,0.119736
0.447477,-0.379176,-0.483498,0.016,0.119736
0.459833,-0.378216,-0.483914,0.016,0.119736
0.509027,-0.390655,-0.484005,0.016,0.119068
0.501573,-0.37918,-0.483437,0.016,0.119068
0.51393,-0.378262,-0.483913,0.016,0.119068
0.563083,-0.390649,-0.483996,0.016,0.123878
0.555611,-0.379186,-0.483428,0.016,0.123878
0.567965,-0.378248,-0.483941,0.016,0.123878
0.61698,-0.390666,-0.484003,0.016,0.125725
0.609459,-0.379233,-0.483491,0.016,0.125725
0.621811,-0.378245,-0.483937,0.016,0.125725
0.670996,-0.390642,-0.484004,0.016,0.119796
0.663508,-0.379188,-0.483475,0.016,0.119796
0.675863,-0.378235,-0.483924,0.016,0.119796
0.724976,-0.390628,-0.483999,0.016,0.126759
0.717515,-0.379156,-0.483461,0.016,0.126759
0.729872,-0.378232,-0.483921,0.016,0.126759
0.778977,-0.390667,-0.484004,0.016,0.129035
0.771451,-0.379237,-0.483493,0.016,0.129035
0.783803,-0.378244,-0.483944,0.016,0.129035
0.832961,-0.390644,-0.483999,0.016,0.130377
0.825458,-0.379199,-0.483485,0.016,0.130377
0.837812,-0.378229,-0.483938,0.016,0.130377
0.887008,-0.390664,-0.484002,0.016,0.121265
0.879488,-0.37923,-0.483494,0.016,0.121265
0.891841,-0.378243,-0.483936,0.016,0.121265
0.942722,-0.390022,-0.483619,0.016,0.067246
0.934732,-0.378902,-0.483339,0.016,0.067246
0.947024,-0.377413,-0.484004,0.016,0.067246
-0.92212,-0.343708,-0.483992,0.016,0.111518
-0.929476,-0.332161,-0.483653,0.016,0.111518
-0.917107,-0.331358,-0.484007,0.016,0.111518
-0.86795,-0.343924,-0.483998,0.016,0.132585
-0.875459,-0.332485,-0.483434,0.016,0.132585
-0.863108,-0.331506,-0.483939,0.016,0.132585
-0.813937,-0.343957,-0.484003,0.016,0.138424
-0.821471,-0.332535,-0.483423,0.016,0.138424
-0.809124,-0.331528,-0.483965,0.016,0.138424
-0.759956,-0.343908,-0.484,0.016,0.127902
-0.767423,-0.332441,-0.48343,0.016,0.127902
-0.755068,-0.331508,-0.483942,0.016,0.127902
-0.705912,-0.343916,-0.484005,0.016,0.120111
-0.713435,-0.332486,-0.48345,0.016,0.120111
-0.701084,-0.331493,-0.483932,0.016,0.120111
-0.651938,-0.34395,-0.484003,0.016,0.132433
-0.659485,-0.332535,-0.483444,0.016,0.132433
-0.647137,-0.331517,-0.483956,0.016,0.132433
-0.597897,-0.343925,-0.484006,0.016,0.122166
-0.605467,-0.332526,-0.483464,0.016,0.122166
-0.593121,-0.331482,-0.483959,0.016,0.122166
-0.543931,-0.343922,-0.484003,0.016,0.130727
-0.551453,-0.332491,-0.483428,0.016,0.130727
-0.539104,-0.331498,-0.483956,0.016,0.130727
-0.489978,-0.343899,-0.484001,0.016,0.129743
-0.497442,-0.33243,-0.483441,0.016,0.129743
-0.485088,-0.3315,-0.483951,0.016,0.129743
-0.435921,-0.343927,-0.484003,0.016,0.123263
-0.443446,-0.332497,-0.483445,0.016,0.123263
-0.431096,-0.331503,-0.483938,0.016,0.123263
-0.381923,-0.343971,-0.484004,0.016,0.13287
-0.389491,-0.332571,-0.483431,0.016,0.13287
-0.377147,-0.331528,-0.483968,0.016,0.13287
-0.327959,-0.343916,-0.484004,0.016,0.126
-0.335439,-0.332458,-0.483437,0.016,0.126
-0.323086,-0.33151,-0.483957,0.016,0.126
-0.273935,-0.343877,-0.484,0.016,0.122751
-0.281445,-0.332438,-0.48345,0.016,0.122751
-0.269093,-0.33146,-0.483937,0.016,0.122751
-0.219948,-0.343915,-0.483999,0.016,0.131941
-0.227455,-0.332475,-0.483437,0.016,0.131941
-0.215104,-0.331498,-0.483946,0.016,0.131941
-0.165956,-0.343934,-0.483999,0.016,0.134772
-0.173465,-0.332495,-0.483433,0.016,0.134772
-0.161114,-0.331517,-0.48395,0.016,0.134772
-0.111909,-0.343977,-0.484002,0.016,0.131162
-0.119483,-0.332582,-0.483439,0.016,0.131162
-0.10714,-0.331532,-0.483977,0.016,0.131162
-0.0579777,-0.343943,-0.484,0.016,0.13687
-0.0654617,-0.332487,-0.483433,0.016,0.13687
-0.0531097,-0.331536,-0.483963,0.016,0.13687
-0.00392664,-0.3439,-0.484005,0.016,0.121697
-0.0114335,-0.332459,-0.483451,0.016,0.121697
0.000918733,-0.331484,-0.483933,0.016,0.121697
0.0500856,-0.343899,-0.484002,0.016,0.12685
0.0425504,-0.332476,-0.483446,0.016,0.12685
0.0548991,-0.33147,-0.483953,0.016,0.12685
0.104032,-0.343923,-0.483999,0.016,0.13251
0.0965548,-0.332463,-0.483433,0.016,0.13251
0.108908,-0.331519,-0.483949,0.016,0.13251
0.158014,-0.344006,-0.484002,0.016,0.135176
0.150438,-0.332612,-0.483434,0.016,0.135176
0.162783,-0.331561,-0.483945,0.016,0.135176
0.212057,-0.343906,-0.483999,0.016,0.12707
0.204557,-0.332461,-0.483433,0.016,0.12707
0.216909,-0.331492,-0.483946,0.016,0.12707
0.266039,-0.343964,-0.484,0.016,0.137052
